cobacia,cotrecho,trechosjus,curso_dagua,vazao_incremental,vazao_naturalizada,cabeceira
"75849963",255939,255938,"7584996",1,0,False
"75849962",182922,255938,"75849962",1,0,True
"75849961",255938,230793,"7584996",1,0,False
"75849953",230793,230784,"7584",1,0,False
"75849952",319429,230784,"75849952",1,0,True
"75849951",230784,230787,"7584",1,0,False
"75849943",321152,321153,"7584994",1,0,True
"75849942",306531,321153,"75849942",1,0,True
"75849941",321153,230787,"7584994",1,0,False
"7584993",230787,230794,"7584",1,0,False
"7584992",270164,230794,"7584992",1,0,True
"75849913",230794,33107,"7584",1,0,False
"75849912",193192,33107,"75849912",1,0,True
"75849911",33107,35861,"7584",1,0,False
"7581661",366428,411026,"758166",1,0,False
"7584987",166048,287509,"758498",1,0,True
"75849863",246586,246587,"7584986",1,0,True
"75849862",217947,246587,"75849862",1,0,True
"75849861",246587,287509,"7584986",1,0,False
"7584985",287509,287510,"758498",1,0,False
"7584984",279001,287510,"7584984",1,0,True
"7584983",287510,287511,"758498",1,0,False
"7584982",346506,287511,"7584982",1,0,True
"7584981",287511,35861,"758498",1,0,False
"7584979",35861,230785,"7584",1,0,False
"7584978",401992,230785,"7584978",1,0,True
"7584977",230785,81151,"7584",1,0,False
"7584976",368324,81151,"7584976",1,0,True
"7584975",81151,230805,"7584",1,0,False
"7584974",76574,230805,"7584974",1,0,True
"7584973",230805,203025,"7584",1,0,False
"7584972",271489,203025,"7584972",1,0,True
"7584971",203025,41973,"7584",1,0,False
"7584963",232154,232166,"758496",1,0,True
"7584962",102037,232166,"7584962",1,0,True
"7584961",232166,41973,"758496",1,0,False
"758495",41973,230797,"7584",1,0,False
"75849493",165824,282889,"758494",1,0,True
"75849492",268610,282889,"75849492",1,0,True
"75849491",282889,282890,"758494",1,0,False
"7584948",283612,282890,"7584948",1,0,True
"7584947",282890,282937,"758494",1,0,False
"7584946",245847,282937,"7584946",1,0,True
"75849457",282937,203907,"758494",1,0,False
"75849456",312076,203907,"75849456",1,0,True
